id,generation_time_seconds,diffusion_steps,n_entities_pinned
1221,20.194,64,7
1222,24.017,64,10
1223,9.377,64,12
1224,23.932,64,10
1225,20.037,64,11
1226,13.61,64,7
1227,19.071,64,6
1228,14.24,64,10
1229,11.942,64,10
1230,18.403,64,9
1231,7.933,64,4
1232,17.254,64,11
1233,18.685,64,11
1234,17.576,64,7
1235,12.082,64,9
1236,12.205,64,8
1237,13.541,64,10
1238,18.431,64,8
1239,23.571,64,8
1240,20.32,64,10
1241,13.025,64,12
1242,11.961,64,7
1243,20.167,64,11
1244,23.751,64,8
1245,13.057,64,11
1246,13.124,64,10
1247,18.878,64,11
1248,9.251,64,10
1249,14.305,64,7
1250,27.598,64,10
1251,14.119,64,11
1252,14.006,64,8
1253,18.435,64,6
1254,9.709,64,9
1255,19.023,64,12
1256,13.614,64,11
1257,17.455,64,10
1258,16.972,64,10
1259,9.788,64,10
1260,13.206,64,9
1261,25.963,64,10
1262,18.537,64,7
1263,9.294,64,10
1264,25.502,64,11
1265,20.095,64,11
1266,29.635,64,9
1267,20.156,64,10
1268,16.853,64,6
1269,14.095,64,9
1270,16.876,64,11
1271,20.177,64,8
1272,9.066,64,7
1273,13.208,64,11
1274,20.579,64,10
1275,7.871,64,8
1276,29.259,64,10
1277,25.704,64,7
1278,12.145,64,8
1279,9.134,64,10
1280,16.856,64,9
1281,23.873,64,10
1282,13.964,64,9
1283,20.42,64,7
1284,9.708,64,8
1285,12.116,64,10
1286,18.654,64,13
1287,9.684,64,6
1288,29.292,64,13
1289,8.946,64,5
1290,24.076,64,8
1291,23.573,64,8
1292,23.901,64,9
1293,45.199,64,10
1294,23.679,64,8
1295,23.726,64,10
1296,13.656,64,10
1297,17.638,64,7
1298,9.195,64,5
1299,17.642,64,10
1300,13.083,64,10
1301,13.639,64,11
1302,13.558,64,11
1303,13.413,64,10
1304,17.516,64,9
1305,23.608,64,8
1306,17.393,64,10
1307,16.844,64,8
1308,20.03,64,12
1309,25.791,64,11
1310,38.308,64,10
1311,13.217,64,9
1312,23.453,64,8
1313,20.222,64,8
1314,20.522,64,8
1315,18.491,64,6
1316,18.795,64,10
1317,9.261,64,9
1318,9.647,64,11
1319,18.636,64,9
1320,14.136,64,9
1321,23.716,64,11
1322,23.463,64,10
1323,17.358,64,12
1324,18.542,64,12
1325,18.888,64,12
1326,23.946,64,9
1327,20.483,64,11
1328,20.204,64,6
1329,14.288,64,9
1330,27.282,64,13
1331,18.392,64,8
1332,9.279,64,3
1333,24.128,64,11
1334,27.156,64,8
1335,37.946,64,11
1336,9.811,64,13
1337,25.577,64,11
1338,25.815,64,8
1339,20.563,64,7
1340,40.291,64,9
1341,17.336,64,10
1342,17.019,64,10
1343,18.664,64,11
1344,8.02,64,6
1345,17.095,64,11
1346,17.304,64,9
1347,16.977,64,10
